,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,start_date,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
62,H2H 1-0,Julien Boutter,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-4 3-6 3-1 Retired,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Alexander Waske,,,,,,,,,,,,,,,,,,,,,,,,,,
63,H2H 1-0,Irakli Labadze,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-4 5-7 7-6(6),2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Peter Luczak,,,,,,,,,,,,,,,,,,,,,,,,,,
64,H2H 1-0,Nicolas Thomann,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-7(7) 6-4 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Andrew Ilie,,,,,,,,,,,,,,,,,,,,,,,,,,
65,H2H 3-0,Igor Kunitsyn,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-3 6-2,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Kristian Pless,,,,,,,,,,,,,,,,,,,,,,,,,,
66,H2H 1-0,Albert Montanes,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-4 6-0,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Arnaud Di Pasquale,,,,,,,,,,,,,,,,,,,,,,,,,,
67,H2H 2-0,John van Lottum,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-2 1-0 Retired,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Stefano Galvani,,,,,,,,,,,,,,,,,,,,,,,,,,
68,H2H 1-0,Alex Calatrava,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-3 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Alex Kim,,,,,,,,,,,,,,,,,,,,,,,,,,
69,H2H 1-1,Dick Norman,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-4 3-6 6-1,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Mardy Fish,,,,,,,,,,,,,,,,,,,,,,,,,,
70,H2H 1-0,Justin Gimelstob,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,7-6(6) 7-6(3),2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Franco Squillari,,,,,,,,,,,,,,,,,,,,,,,,,,
71,H2H 1-1,Jurgen Melzer,,,,,,,,,,,,,,,,,,,,,,,,,,,QFQ,6-4 6-4,2003-01-06,https://matchstat.com/tennis/tournaments/m/Sydney/2003,Sydney,Gregory Carraz,,,,,,,,,,,,,,,,,,,,,,,,,,
