,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
135,H2H 1-2,Leif Shiras,R128,4-6 6-2 6-3 7-6,Danie Visser,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
136,H2H 4-0,Jonathan Canter,R128,7-6 6-3 6-4,Kelly Evernden,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
137,H2H 2-2,Leonardo Lavalle,R128,6-3 6-4 0-6 6-4,Christo Van Rensburg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
138,H2H 3-0,John Sadri,R128,6-3 6-7 6-4 6-0,Wally Masur,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
139,H2H 1-0,Laurie Warder,R128,6-7 3-6 6-3 6-4 6-1,Slobodan Zivojinovic,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
140,H2H 1-0,Cristian Miniussi,R128,6-2 6-1 7-5,Broderick Dyke,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
141,,P Doohan / L Warder,F,6-4 6-4 7-6,S Edberg / A Jarryd,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
142,,P Annacone / C Van Rensburg,SF,6-3 7-6 6-3,S Edberg / A Jarryd,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
143,,K Flach / R Seguso,SF,1-6 6-3 1-6 6-4 10-8,P Doohan / L Warder,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
144,,B Dyke / W Masur,QF,6-3 3-6 6-3 3-6 6-4,S Edberg / A Jarryd,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
145,,G Muller / T Nelson,QF,6-7 6-4 7-6 6-2,P Annacone / C Van Rensburg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
146,,D Cahill / M Kratzmann,QF,6-4 6-4 6-4,K Flach / R Seguso,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
147,,A Emerson / D Tyson,QF,6-4 6-3 6-4,P Doohan / L Warder,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
148,,C Saceanu / D Utzinger,R16,6-4 2-6 6-2,S Edberg / A Jarryd,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
149,,J Hlasek / S Stewart,R16,6-7 6-1 6-4,B Dyke / W Masur,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
150,,K Curren / H Leconte,R16,2-6 7-6 14-12,P Annacone / C Van Rensburg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
151,,P Cash / G Donnelly,R16,7-6 7-5,G Muller / T Nelson,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
152,,M Mecir / M Srejber,R16,6-7 6-3 6-4,D Cahill / M Kratzmann,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
153,,E Edwards / D Visser,R16,6-3 6-2,K Flach / R Seguso,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
