,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner
115,H2H 1-0,Peter Feigl,SFQ,7-5 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Stephen Myers
116,H2H 1-0,Klaus Eberhard,SFQ,6-4 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Will Coghlan
117,H2H 1-0,Nikolaos Kelaidis,SFQ,6-1 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Campbell
118,H2H 1-0,David Carter,SFQ,6-2 4-6 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Jonathan Smith
119,H2H 1-0,Greg Braun,SFQ,7-6 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Charles Fancutt
120,H2H 1-0,William Durham,SFQ,6-3 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,H. Elschenbroich
121,H2H 1-0,Dean Martin,SFQ,7-6 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,John Trickey
122,H2H 1-0,John Holladay,SFQ,1-6 7-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Graeme Thomson
123,H2H 1-0,Trevor Little,SFQ,6-2 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Elter
124,H2H 1-0,Jeff Tobin,SFQ,6-1 6-0,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,William Lloyd
125,H2H 1-0,Mansour Bahrami,SFQ,7-5 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Stephen Mott
126,H2H 1-0,Pat Serret,SFQ,6-2 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Chris Sylvan
127,H2H 1-0,G. Condon,SFQ,6-0 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Bob Giltinan
128,H2H 1-0,Paul Dougherty,SFQ,7-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Rod Frawley
129,H2H 1-0,W. Van Diense,SFQ,6-0 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Jacques Thamin
130,H2H 1-0,Charles Fancutt,SFQ,6-3 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Noel Phillips
131,H2H 1-0,Glenn Ayre,SFQ,6-1 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,David Carter
132,H2H 1-0,Robert Keighery,SFQ,6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Dale Collings
133,H2H 1-0,R. King,SFQ,6-7 6-4 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,David Whyte
134,H2H 1-0,Trevor Little,SFQ,7-6 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Gilles Moretton
135,H2H 1-0,Noel Jensen,SFQ,6-1 6-0,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Campbell
136,H2H 1-0,Lawrence Hall,SFQ,6-7 7-6 8-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Brad Drewett
137,H2H 1-0,Jeff Hamilton,SFQ,6-2 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Stephen Mott
138,H2H 1-0,Graeme Thomson,SFQ,6-1 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,M. Anderson
139,H2H 1-0,M. Huffmann,SFQ,6-3 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,John Trickey
140,H2H 1-0,T. Embree,SFQ,6-4 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Feigl
141,H2H 1-0,Victor Eke,SFQ,6-4 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Greg Braun
142,H2H 1-0,Peter Barton,QFQ,6-1 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Chris Sylvan
143,H2H 1-0,John Holladay,QFQ,6-4 6-7 6-0,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Bob Giltinan
144,H2H 1-0,David Chapman,QFQ,6-2 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Rod Frawley
145,H2H 1-0,Richard Eden,QFQ,6-3 4-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,W. Van Diense
146,H2H 1-0,Ray Kelly,QFQ,6-3 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Noel Phillips
147,H2H 1-0,Alan Rae,QFQ,6-3 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,David Carter
148,H2H 1-0,Bill Gilmour,QFQ,7-6 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Robert Keighery
149,H2H 1-0,Keith Begley,QFQ,6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,David Whyte
150,H2H 1-0,Greg Whitecross,QFQ,6-1 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Trevor Little
151,H2H 1-0,Chris Tregonning,QFQ,6-1 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Campbell
152,H2H 1-0,Tim Clements,QFQ,6-2 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Brad Drewett
153,H2H 1-0,Mark Dragan,QFQ,6-2 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Stephen Mott
154,H2H 1-0,Glenn Busby,QFQ,6-4 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Graeme Thomson
155,H2H 1-0,Mark Pinchbeck,QFQ,6-1 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,John Trickey
156,H2H 1-0,Michael Fancutt,QFQ,6-3 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Feigl
157,H2H 1-0,Simon Clarke,QFQ,6-3 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Victor Eke
158,H2H 3-0,Brian Teacher,F,6-1 6-4 6-2,1977-01-10,https://matchstat.com/tennis/tournaments/m/Adelaide/1977,Adelaide,Victor Amaya
159,H2H 2-2,J. Alexander,SF,6-4 6-4,1977-01-10,https://matchstat.com/tennis/tournaments/m/Adelaide/1977,Adelaide,Victor Amaya
160,H2H 1-1,C. Pasarell,SF,3-6 7-6 6-4,1977-01-10,https://matchstat.com/tennis/tournaments/m/Adelaide/1977,Adelaide,Brian Teacher
161,H2H 1-0,Rolf Gehring,QF,6-1 6-3,1977-01-10,https://matchstat.com/tennis/tournaments/m/Adelaide/1977,Adelaide,J. Alexander
162,H2H 4-2,Colin Dibley,QF,6-3 6-7 6-3,1977-01-10,https://matchstat.com/tennis/tournaments/m/Adelaide/1977,Adelaide,Victor Amaya
